match_id,team,minute,color,dice,player
75,Paraguay,117,yellow,,Matías Galarza
75,Paraguay,65,yellow,,Andrés Cubas
75,Paraguay,117,yellow,,Alejandro Manograsso
76,Morocco,47,yellow,,Issa Diop
77,Norway,45+1,yellow,,Antonio Nusa
79,Ecuador,90+3,yellow,,Kendry Páez
79,Ecuador,90+9,yellow,,Moisés Caicedo
79,Ecuador,90+5,red,4,Piero Hincapié
80,England,20,yellow,,Jude Bellingham
81,Senegal,70,yellow,,Lamine Camara
82,Bosnia & Herzegovina,80,yellow,,Stjepan Radeljić
82,USA,64,red,1,Folarin Balogun
82,Bosnia & Herzegovina,80,yellow,,Sergej Barbarez
83,Austria,83,yellow,,Stefan Posch
84,Portugal,17,yellow,,Rúben Dias
84,Croatia,59,yellow,,Luka Modrić
84,Croatia,90+7,yellow,,Ivan Perišić
85,Algeria,36,yellow,,Farès Chaïbi
85,Algeria,72,yellow,,Hicham Boudaoui
86,Egypt,104,yellow,,Haissem Hassan
87,Cape Verde,68,yellow,,Kevin Pina
87,Argentina,115,yellow,,Gonzalo Montiel
88,Colombia,12,yellow,,Jhon Arias
88,Ghana,49,yellow,,Caleb Yirenkyi
88,Ghana,66,yellow,,Fatawu Issahaku
88,Ghana,76,yellow,,Alidu Seidu
88,Colombia,78,yellow,,Richard Ríos
89,Morocco,20,yellow,,Redouane Halhal
89,Canada,40,yellow,,Richie Laryea
89,Morocco,40,yellow,,Achraf Hakimi
89,Canada,43,yellow,,Jonathan David
89,Morocco,45,yellow,,Azzedine Ounahi
89,Morocco,45+5,yellow,,Bilal El Khannouss
89,Canada,49,yellow,,Luc de Fougerolles
89,Canada,67,yellow,,Cyle Larin
90,France,90+7,yellow,,Michael Olise
90,France,19,yellow,,Bradley Barcola
90,France,81,yellow,,Manu Koné
91,Brazil,90+6,yellow,,Neymar Júnior
92,Mexico,90+8,yellow,,Johan Vásquez
92,England,90+8,yellow,,Jordan Henderson
92,England,1,yellow,,Declan Rice
92,England,68,yellow,,Marc Guéhi
92,England,72,yellow,,Nico O'Reilly
92,Mexico,71,yellow,,Jorge Sánchez
92,England,54,red,4,Jarell Quansah
93,Spain,90+8,yellow,,Ferran Torres
93,Portugal,90+3,yellow,,Renato Veiga
93,Portugal,89,yellow,,Bernardo Silva
94,USA,35,yellow,,Weston McKennie
94,USA,69,yellow,,Malik Tillman
95,Egypt,90+8,yellow,,Marawan Attia
95,Egypt,73,yellow,,Haissem Hassan
95,Egypt,90+4,yellow,,Hamdy Fathy
96,Switzerland,59,yellow,,Granit Xhaka
96,Switzerland,59,yellow,,Denis Zakaria
96,Switzerland,105,yellow,,Miro Muheim
96,Colombia,60,yellow,,Luis Suárez
96,Colombia,94,yellow,,Davinson Sánchez
96,Colombia,95,yellow,,Luis Perea
98,Spain,43,yellow,,Pau Cubarsí
98,Spain,90+3,yellow,,Aymeric Laporte
99,Norway,117,yellow,,Kristoffer Ajer
100,Switzerland,45,yellow,,Breel Embolo
100,Switzerland,70,red,6,Breel Embolo
100,Argentina,98,yellow,,Thiago Almada
101,France,8,yellow,,Adrien Rabiot
101,France,86,yellow,,Kylian Mbappé
102,England,37,yellow,,Elliot Anderson
102,Argentina,42,yellow,,Lisandro Martínez
102,Argentina,51,yellow,,Cristian Romero
102,Argentina,73,yellow,,Rodrigo De Paul
98,Belgium,85,yellow,,Kevin De Bruyne
81,Belgium,64,yellow,,Brandon Mechele
98,Belgium,90+5,yellow,,Axel Witsel
100,Argentina,98,yellow,,Lautaro Martínez
100,Argentina,114,yellow,,José Manuel López
70,DR Congo,62,yellow,,Samuel Moutoussamy
80,DR Congo,28,yellow,,Noah Sadiki
95,Egypt,90+3,yellow,,Mostafa Shobeir
86,Egypt,120,yellow,,Yasser Ibrahim
42,Iraq,6,yellow,,Amir Al-Ammari
97,Morocco,63,yellow,,Issa Diop
37,Saudi Arabia,60,yellow,,Mohamed Kanno
101,Spain,31,yellow,,Marc Cucurella
104,Argentina,41,yellow,,Lisandro Martínez
104,Argentina,52,yellow,,Leandro Paredes
104,Argentina,82,yellow,,Enzo Fernández
104,Argentina,90+3,red,6,Enzo Fernández
104,Argentina,111,yellow,,Alexis Mac Allister
